atom_id,cei_placeName,cei_lang_MOM,cei_tenor,cei_date,cei_date_ATTRIBUTE_value,cei_dateRange,cei_dateRange_ATTRIBUTE_from,cei_dateRange_ATTRIBUTE_to,cei_abstract,cei_abstract_foreign,cei_graphic_ATTRIBUTE_url_orig,cei_graphic_ATTRIBUTE_url_copy,,,,
tag:www.monasterium.net,2011:/charter/AbbayeDeSaintBertin/0a604ce0-7f0a-437b-a803-414b081e60c5,,," XVI.  QUOD MULTA ALIA, SE VIVENTE, ADQUISIERIT, ET DE CELL A VVOROMHOLD DICTA.  ET SANCTO W1NNOCO '.  �?е�? et alia quamplurima, se adhuc vívente, monasterio suo adauxit cum ingenti
                    desudatione. Multa etiam prœterea , partim praeccdentium incuria, partim quoque diuturna
                    vetustate demolita, nobis hactenus manent incognita. Certum est autem quod omni vitae suae
                    tempore in praeparatione loci sibi a Domino traditi sudasset, unde nec abstitit, donee
                    priscis monasteriis regali auctoritate con- structis, regalibus privilegiis et terrarum
                    opulentia coequaret. Quin etiam et alia monachorum cœnobia, se adhuc vi vente, construxit,
                    ex quibus unum est quod vocatur Woromhold, quod quidam vir dives, Heremarus nomine, eidem
                    viro Dei contradidit. Sanctus vero Bertinus servorum Dei multiplicare volens habitacula,
                    hoc ipsum ccenobium quatuor viris, ad se a Britanniae partibus advenientibus, ad
                    construen- dum regendumque commisit, Quadonoco videlicet et Ingenoco, Madoco sanctoque
                    Winnoco, ut inibi receptionem pauperum con- struendo, hospitum peregrinorumque curam
                    gérèrent non modicani in necessariis administrando. Post decessum vero supradictorum trium
                    virorum, Quadonoci videlicet et Ingenoci et Madoci, sanctus Bertinus, conventiculo fratrum
                    inibi degentium, beatum concessit praeesse VVinnocum, quia de ejus vita et moribus non
                    dubitabat, quern secum ab infantia sub dominica monasterii scola nutrierat: cujus vitam et
                    virtutes, qui diligenter investigare voluerit, a quodam eli- gentissime conscriptam,
                    invenire apud nos poterit. Nos interim cepta percurramus.  1 Cf. Joan п. Iper. Chronic, col. Д7З. ",99999999,99999999,,,,,,,00000147.png,,,
tag:www.monasterium.net,2011:/charter/AbbayeDeSaintBertin/48b1c3e2-17c3-4c9c-89d4-d52a4a940406,,," XXX.  In Aldomhem habet casam indominicatam cum aliis castitiis; de prato bunaria xv, de
                    terra arabili bunaria xcvin, silva grossa buna ria i. ad saginandos porcos xxx, silva
                    minuta bunaria lui. Mansos xv  per bunariaxii, cum servis vu. Facit in ebdomada dies ш. Ancillae u; facit ladmones u.
                    Alii ingenui faciunt in ebdomada н dies; et de ingenuis feminis veniunt ladmones v. Ad
                    host carrum dimidium; ad vineas carrum i dimidium. Parat unusquisque de brace modia x, de
                    farina vi; et debet pullos ни, ova xx. Sunt ibi prebendarii vi; lunarii XVIII, luminarii
                    xxiin. Inter omnes solvunt solidos vin et di midium. Molendinos il: ex uno veniunt modia
                    majora xxx, et ex alia modia. xxx. Uno anno saginat porcos n, alio i; pullos xx, ova cc.
                    Quod molendinum habet Otbertus; et habet bunaria xmi, et habet mancipia v, et custodit
                    silvam. Ille decanus habet bunaria im et di midium ad praebendam. Homines facientes in
                    anno и dies sunt xvm. Salaca major habet casam dominicam cum aliis castitiis; de terra
                    arabili bunaria xxx, silva minuta bunaria Hl; mancipia хн. Suithger caballarius habet
                    casam dominicatam cum aliis castitiis; de prato bunaria vu, de terra arabili bunaria xlvi
                    , de silva minuta bunaria x. Mansi in per bunaria xn, cum servis п ; et facit ш dies in
                    ebdomada. Ingenuœ in feminœ, facit unaquaeque ladmonem dimidium; facit sei-vitium sicut in
                    ipsa villa. Et habet lunarios vu; et habet ecclesiam dimidiam, cum bunariis vin, et
                    mancipia и; et luminarios xv. Sol vunt inter omnes solidos hu et denarios vni. ",99999999,99999999,,,,,,,00000213.png, 00000214.png,,
tag:www.monasterium.net,2011:/charter/AbbayeDeSaintBertin/6243ed81-6059-484c-a017-50cc4f192cf6,,," XXVII.  In Pupurninga villa habet ecclesiam, cum bunariis xvni; mansum i indominicatum; de
                    terra arabili bunaria clviii, de silva grossa fagi- nina et minuta mixta bunaria cccc, ad
                    saginandos porcos DC. Man sos xlvii et dimidium: ex his x constant bunariis ххпп, itemque
                    x bunariis XX, itemque x bunariis xv; illi alii omnes per bunaria хш, et ille dimidius
                    bunaria vin. Resident in eis servi un; faciunt in eb- domada in dies. Ancillae ни facit
                    camsiles un. Alii ingenui faciunt н in ebdomada dies; et illae ingenuae feminae, solvit
                    unaquaeque dena- rios nu. Lunarem nullum, luminarios clxxiih. Inde veniunt librae н,
                    solidi xvni. Herescarii cviin. Veniunt solidi хин, denarii vu. De terra censali, incultis
                    et infructuosis bunariis cxvni veniunt incensus de for- maticis pensae xxi; aucas xxv. Ad
                    host carros н; ad vineas carros il Illae nu ancillae parant de brace modia x. Unusquisque
                    pullos н, ova x. In tertio anno porcum i valente denarios пл. Ille major habet man- cipia
                    nn. De bunariis x veniunt de mel sextarii in. Godobert caballa- rius habet casam
                    indominicatam cum aliis castitiis; de terra bunaria Lxxxvi, silva minuta bunaria im;
                    mancipia vi. Mortbert caballarius habet casam indominicatam cum aliis casticiis; terra
                    bunaria xx, silva minuta bunaria xn et dimidium; mancipia x. Mansa nn per bunaria XII.
                    Resident in eis ingenui qui nichil aliud facit per totum annum, nisi il dies in ebdomada.
                    Dat imusquisque eorum pullum i, ova v. Isti arant, unusquisque, bunarium i, et colligunt i
                    ; et caballicat. De terra censali bunariorum xn veniunt de mel sextarii II. Porcarius unus
                    ha bet bunaria in ad vestitum. Item de bunariis ш solvunt flascones xn, scute!las c.
                    Engeten habet bunaria mi, arat bunarium dimidium, et operatur unaquœque ebdomada i diem.
                    Radeken habet bunaria Ш, arat bunarium dimidium, et facit in ebdomada н dies. Aldbert bu
                    naria ни; facit similiter. Abbo bunaria v, arat dimidium.  PARS PRIMA. — FOLQUINI LIB. II. 105 ",99999999,99999999,,,,,,,00000212.png, 00000213.png,,
tag:www.monasterium.net,2011:/charter/AbbayeDeSaintBertin/7c38ef21-e421-42ea-ae46-ee8e7fd88a59,,," LVI.  DE ELECTIONE JOHANNIS, EPISCOPI MORINENSIS.  Abbates namque archidiaconum Attrebatensem Johannem, de monte sancti Eligii regulärem
                    canonicum, lingua latina, romana et theutonica adprime eruditum, personam spectabilem,
                    prudentem et religiosam; clerici vero Obertum de Hela, satis inferioris commen- dationis,
                    elegerunt. Que contentio terminanda fuit universalis ponti- ficis juditio. Pars igitur
                    utraque Romam proficiscitur.  4 ",99999999,99999999,,,,,,,00000376.png,,,
tag:www.monasterium.net,2011:/charter/AbbayeDeSaintBertin/a33932c7-e2c4-4e6a-8c97-809060ce76bb,,," IX.  DE C0NSTB1 CTIONE CENOBII SANCTI VINNOCCI BERGENSIS, ET EVENTIBOS IIXIDS TEMPOHIS.  Abbatis pretitulati anno secundo, et assumpte Christi nativitatis vigésimo secundo
                    supra millesimum, Flandrie comes Balduinus Barbatus, canónicos ecclesie collegiate
                    sanctorum Martini et Vin- noci confessorum expellens, propter conversationis eorum enormi-
                    tatem, cenobium sancto Vinnoco de Castro, quod fundaverat in Bergas, fecit; ponens illic
                    aliquam partem monacorum domni patris Bertini, preíiciens eisdem venerabilem Rodericum,
                    vita et mori- bus insignem, subiciens hoc modo jamdictum cenobium Sithien- sibus monacis.
                    Cumque idem Rodericus septennio illud strenuis- sime rexisset, anno nativitatis dominice
                    secundo de trigenta supra millesimum, crescente paulatim monacorum cetu, abbatem ordina-
                    vit Germanum, monacum sancti Bertini; qui, completo quadrienni spatio in regimine, diem
                    obiit. Post quem alius monachus Berti- nensis, cui nomen Rumoldus, successit.  His diebus accidit miraculum in Calmont, sancti Bertini villula, de quodam tiranno,
                    qui, cum ducentis equitibus, illuc venitdepre- dandi gratia. Cumque omnia animaba in
                    campis pascentia sustu- lisset in grave dampnum civium, advenit Vinradus, sancti Bertini
                    monacus, ab abbate Rodericb missus, qui, dum eidem obtulisset ducentas missas, nec ille
                    eas acceptasset, demum monacus ad ora- tionum confugit auxilia, et audivit Creator quod
                    respuit creatura. Verum repente de equo lapsus, cervice fracta, terminum vite fecit.
                    Tandem quod predarat reducitur, et nomen Domini laudator.  Post hec gloriosus Francorum rex Robertus et Balduinus magnus, Flandrie comes,
                    deposito onere carnis, a seculo migrarunt.  PARS SECUNDA. — SIMONIS LIB. I. 179 ",,,assumpte Christi nativitatis vigésimo secundo\n        supra millesimum,10220101,10221231,,,,00000288.png, 00000289.png,,
tag:www.monasterium.net,2011:/charter/AbbayeDeSaintBertin/b025bdf0-b670-4ca6-8cb8-b375e65744f9,,," XXXIX.  ALIUD EXEMPLAR PR1VILEG1I EJUSDEM PAPE, DE HUJOS LOCI SANCT1 BERTINI LIBERTATE.  «Paschalis, episcopus, servus servorum Dei, dilecto filio Lam-  berto,
                    abbati monasterii sancti Bertini, salutem et apostolicambene- dictionem. Que
                    religionis prospectu statuta sunt, firma debentperpe- tuitate servari. Illud itaque
                    religionis ac discipline, quod a Cluniacensi cenobio suscepistis, perpetua voliimus apud
                    vos observantia custodiri. Porro quod de monasterii vestri libértate in Lateranensi
                    palatio a fratribus nostris episcopis et cardinalibus, coram nobis, judicatum et
                    privilegio nostro confirmatum est, repetita sanclione firmamus; et ita ratum ac
                    inconvulsum servari apostolice auctoritatis dispositione statuimus, ut nemini deinceps in
                    perpetuum liceat illud infringere, nemini liceat ausu temerario retractare.  » Data Viterbii, octavo idus octobris. » ",8 oct. circa a-1 ll5- ,11151008,,,,,,,00000361.png,,,
tag:www.monasterium.net,2011:/charter/AbbayeDeSaintBertin/ba7b0efd-2a0a-40a9-b663-0adc570d24ea,,," XXXVI.  DE BEATO BERNARDO, PENITENTE HD JUS LOCI MONACO.  Tempore hujus abbatis, anno gratie м° c° octogésimo tercio, exemplar et speculum
                    totius sanctitatis, vere penitens beatus Bernar- dus, Montis Pessulani quondam civis,
                    deposito onere carnis, suscep- tus est ab angelis ; quern , propter multa que in ejus
                    obitu evenerunt miracula, collegio sanctorum aggregatum esse simplicitas credit ec-
                    clesie. Cujus penitentiam, actus et miracula, si quis nosse voluerit, extant de iis
                    volumina, in quibus seriatim bee omnia addiscere po tent. ",,,anno gratie м° c° octogésimo tercio,10830101,10831231,,,,00000465.png,,,
tag:www.monasterium.net,2011:/charter/AbteiEberbach/547aa568-a625-451b-af19-ad50c83b9948,,, 11. Heinrich I, Erzbischof von Mainz, bcstaetigt die von dem  OcrikiT Zacheus an das KI. Eberbach gemachte Schenkung  eines Weinbergs bei Haterhcini. ,99999999,99999999,,,,,,,00000035.png,
tag:www.monasterium.net,2011:/charter/AbteiEberbach/66cae3cc-41ec-4f08-9cac-e950e5c780b6,,," - ' M '.! ' .i .' !■•! ,v.»'V "" / ': -:.' ■'. .:...6.;:t»î1 M* 233. Wasniud, Bürger in
                    Bopard, und Lukardis, Eheleute,  erneuern eine frühere Schenkung ihrer Güter an  * das KI. Eberbach.  12 4 S.  Orig. Urk. im K. Provjnzialarehiv zu Coblenz.  -:-i '. ' '¡П' ■ w ■»'■ i ■ I . . .' • i' ' .• ч ' I ii'vl •• : �? , 'ii Я •Nos Ph. de
                    Hohinvels Imperialis aule Camerariasj Her m an nu s fcultetus. Militèf et Civef
                    Bopardieníea univeríí ] Tenöre prefentium conteftamur et affirmamus quod cum Wafmudus
                    inftitor et uxor fua Lukardis iam in ulitis | temporibus traniactis bona fua itam,
                    ftiobilift quam шипбЬЩа atteftantibus multis qui time aderaßt contulerint | ecclefie beate
                    Marie in Eber bach poft obb tum amborum pro remedio animárum fuarum а�? párentüm fuorum
                    perpetuo | poíTidenda hiidem prefidentibus nobis in domo Iudiciaria В op ar die dictam
                    legationem reno vare I cupientef coram nobis omnibus performs fuas et omnia bona l'ua tarn
                    mobilia quam immobilia que ad pre| fens poffidebant et impofterum poiTeffuri erant fine  378 ",99999999,99999999,,,,,,,00000391.png, 00000392.png,,
tag:www.monasterium.net,2011:/charter/AbteiEberbach/ce92d35d-35bc-4fac-8f59-d0e30e597491,,," 1226.  О �? u 1. M e m. II. fo 1. XX, 1 •).  Frater Erkenbertus dictus abbas in eberbach. Ad auferendam oblivionis caliginem cautum
                    eft vigcrem Iiterarum et vocem tèftium in caufis rerum adhiberi.  Sciant igitur üniverfi Chrifti fidèles quod milites et com-  .- —— : . ' • . '.  *) Weder das klösterliche Original, woraus Bär (Beitr. zur ¡Mainz Gesch. II. 1790 S.
                    279) diese Urkunde hat abdrucken lassen, noch auch die von ihm eingesehene Copie aus dem
                    von Greifen- clau'schen Familien-Archiv zu Yollrads ist bisher aufzutreiben gewesen. Wir
                    theilen daher die Urkunde aus dem alten Copial- buch (Ocul. M. II) mit und fügen die
                    Varianten dieser Abschrift  392  provinciales de Riñe �? ou we et de villis circa montes fitis iuxta grangiam nostram
                    Mappen convenientes de terminis filvarum conferebant. Ubi per fententiam eft diffinitum
                    quod nulli ville fuper ligna nemoris confovenda ftatuere *) b annum id est Wer holz liceat
                    prêter unum et hoc in terminis fuis et que forte voluerit. Adiacentes vero nobis 2) ville
                    hoc de confenfu et cooperatione nostra et fratrúm nostrorum faceré tenentur 3) ficut in
                    autentico dni Archiepiscopi Maguntini fuper hoc dato manifeste contînetur. Nobis etiam
                    longe lateque per omnes filvas plenam recognoverunt communionem ficut fuit ab anti- qpo. •
                    Preterea de communi confilio ftatuerunt 4) nobis prefentibus et confentientibus 4) quod
                    nulli penitus dein- ceps nóvale liceat faceré fed que facta funt 5) ad silvam recrescere
                    permittantur. Qui vero aliter prefumpferit tamquam reuf et violator ftatute
                    compromiffionis omnium bonorum fuorum exhereditationem patietur. Igituf ad eorum
                    inftanciam et petitionem duos fratres promifimus ad idem nemus cuftodiendum affignare
                    diligentiam cum ceteris cuftodibus ad hoc deputatis habituros. 5)  In evidentiam igitur huius rei teftes qui facto buic interfuerunt, fubfecuntur.
                    Conradus de Rinberch da- pifer archiepifcopi. Bertholdus Glime. Engelfridus mancus et
                    Fridericus de Hatternheim. Heinricus Gallus. Conradus filius Symonis. Heinricus Pittit.
                    Amilius de Winkelo. Embrico Grifen- clowe minifteriales. S ib o Idus sculthetus de
                    Winkelo. Hartungus de Hatternheim. Wigandus de Eberbach.  von dem Abdruck bei B8r bier an: *) statuere fehlt. 2) nobis fehlt. "") frat. nostr.
                    hoc tenentur. 4) nobis pref. et confent.  fehlt. 5) ad silvam habituros fehlt alles. Вйг liest:  facta sunt tali modo manere permittantur. In evidentiam Ac.  393  S i fr i dus de Altavilla, scuMieti. Heinricus Wal- podo. — De fratvibus noftris
                    Conradus grangiarius. Gerardus et Embrico cellerarii. Franco. Alber tus. Aeffo.
                    Gifelbertus. Elfricus Faber. Hein ricus carbonarius.  Acta funt hec anno dni M». CC°. XX». fexto in die fee Margarethe. ",99999999,99999999,,,,,,,00000405.png, 00000406.png, 00000407.png,
